timestamp, cpu_user, cpu_system, rss, heapTotal, heapUsed, external
1737464540249, 3225720, 128068, 258043904, 186376192, 159846016, 8708885
1737464540749, 3299899, 144873, 258097152, 186183680, 151446568, 4153610
1737464541250, 3337820, 176944, 258097152, 186183680, 153044360, 4198172
1737464541751, 3377738, 177140, 258097152, 186183680, 154617552, 4234542
1737464542252, 3418765, 189707, 258097152, 186183680, 156143776, 4270912
1737464542752, 3461119, 189730, 258097152, 186183680, 157627832, 4315474
1737464543252, 3512377, 189730, 258097152, 186183680, 159159784, 4351844
1737464543753, 3556651, 200940, 258097152, 186445824, 160911624, 4388214
1737464544253, 3621389, 220571, 261107712, 189591552, 153469040, 4432776
1737464544754, 3650588, 228914, 261107712, 189591552, 154966864, 4469146
1737464545255, 3723850, 240248, 261300224, 189591552, 156489152, 4513708
1737464545756, 3770958, 240443, 261300224, 189591552, 157984592, 4550078
1737464546257, 3804521, 248034, 261300224, 189591552, 159443328, 4586448
1737464546758, 3834849, 251924, 261300224, 189591552, 160947656, 4631010
1737464547258, 3876443, 256558, 261459968, 189591552, 162430416, 4667380
1737464547759, 3918138, 257454, 261459968, 189591552, 164054280, 4711942
1737464548260, 3948666, 265659, 263282688, 191426560, 155297208, 4748312
1737464548761, 3970471, 273271, 263282688, 191426560, 156679784, 4784682
1737464549262, 4006404, 285024, 263282688, 191426560, 158074160, 4829244
1737464549763, 4041547, 288681, 263282688, 191426560, 159439872, 4865614
1737464550264, 4075366, 292528, 263282688, 191426560, 160784112, 4910176
1737464550764, 4105432, 301279, 263475200, 191426560, 162372360, 4946546
1737464551264, 4133541, 320429, 263475200, 191426560, 163879880, 4991108
1737464551765, 4156061, 324629, 263475200, 191426560, 165367096, 5027478
1737464552266, 4171769, 332939, 263475200, 191426560, 167049872, 5063848
1737464552766, 4205417, 337075, 265330688, 193523712, 158045040, 5108410
1737464553267, 4239342, 340589, 265330688, 193523712, 159534544, 5144780
1737464553766, 4266409, 348851, 265330688, 193523712, 161015672, 5181150
1737464554267, 4290808, 360235, 265330688, 193523712, 162498312, 5225712
1737464554768, 4305857, 364157, 265584640, 193523712, 163980064, 5262082
1737464555268, 4321431, 372123, 265584640, 193523712, 165678032, 5306644
